gaia_source_id,sdssj_name_green
1022604946941453312,091007.61+521612.4
590424068940039424,091133.56+085121.0
635483601634782720,091207.87+184717.8
605802697562033024,091234.94+125019.9
606208039393461504,091310.83+135419.7
1012879629154811776,091335.63+492444.7
578977225182026112,091336.99+034839.1
687757545515218304,091357.76+245535.6
580682533357596672,091406.56+063254.2
593646226420268928,091445.59+114433.3
687907216536849920,091735.99+254611.7
701504571894702592,091828.34+322116.7
714871227378224512,091836.49+363846.8
638551170356432128,091914.47+214815.1
587459751232076800,091922.12+080621.2
587653608875663616,092121.21+085240.4
693901685210358784,092131.41+261016.2
702442214795618048,092158.44+343720.4
587266099746368256,092244.78+075704.0
632617346619430400,092256.12+181918.6
637367889687063168,092305.30+201634.0
585484993988844288,092313.35+051000.9
638174553264202368,092356.73+214510.2
593091587228110720,092423.44+114503.9
638188095296426880,092429.76+220139.0
3843997104310040320,092508.21+010545.4
585718365331431936,092533.92+060940.6
798679199103051904,092550.82+361152.0
589359054489724416,092630.76+101325.5
811237580397346176,092806.35+373539.1
633989468411851392,092826.70+185616.9
631283849468775424,092850.88+164819.2
638362226155531648,092857.90+225844.2
631535152299791360,093015.07+173333.4
694337813372612096,093022.62+271009.5
637868785952921344,093031.23+212023.3
3850917774092306688,093057.12+033453.5
825780614539279744,093109.80+484233.5
696321160547401344,093117.72+291727.2
3841083986906939648,093203.67+002753.7
696259175579248128,093326.81+290425.8
3852802100799668224,093334.14+064812.6
3852273678087972352,093357.29+045835.0
813846893288344320,093442.80+420211.4
1018494147843697152,093524.96+505021.8
797297216065708800,093551.52+334850.8
588189930032317440,093618.26+090047.7
620718672301936640,093730.62+170508.3
3854083066205077120,093825.46+064958.1
588394679713444736,093854.51+091102.3
647393442867054080,093937.51+260303.2
798178921312388608,094026.29+362548.7
647429692391118080,094046.93+262516.3
821111882009852416,094108.48+450139.0
614075667860713344,094117.99+122750.6
620539215683935360,094205.92+164237.7
612876581710713984,094209.73+104906.5
1021344223717059328,094209.94+535719.2
1020590504200591488,094215.36+534856.9
794018442329525760,094313.08+331015.2
3848085775736823808,094318.73+032743.7
799473836772363776,094352.09+362545.4
3854964389199360256,094359.02+084323.7
827631230048084608,094511.56+503214.5
794457349330557056,094528.17+340205.4
620165102557585792,094612.75+164851.2
619704510264290048,094624.63+161040.5
3879014866027272192,094738.52+091508.2
801239106986954240,094742.33+395045.1
807672585742979712,094832.63+421654.2
1049467356038291968,094858.68+583020.4
807783743793094784,094929.27+423527.8
1049470310975870080,095005.09+584123.7
821575188721408896,095040.38+463125.1
646839632603925888,095114.99+261207.5
800198071337207680,095204.01+390157.9
3834598307116755328,095516.40+012129.7
820383013175744128,095545.84+443640.4
643990969775344896,095720.06+265441.7
744170463479336576,095955.55+304058.5
3836066773615537408,100132.62+020402.7
827028216639172864,100151.33+502600.2
740246581357786752,100206.98+280512.2
3833615584240122496,100244.58+004337.1
1044901496564692992,100257.67+551555.6
747420894729062400,100259.28+343046.2
795908223642553856,100329.48+361144.5
3878629766374667520,100353.99+100807.2
3835101539844771200,100432.45+004337.6
622871069392764288,100438.31+170556.0
803669783600413440,100454.66+401507.3
630239790163410176,100518.46+230547.5
3873387771674766848,100531.23+053809.1
801960077379167104,100623.73+365730.4
822753246710948992,100638.20+473039.4
747121277810340992,100651.31+333630.6
1070383297013681792,100752.13+691843.2
3835247847906411648,100812.04+012657.1
851253584535619200,100913.95+514924.5
3888086421072100096,100914.51+141529.4
742336546803672704,100933.77+300453.6
3834988260082850560,100958.70+010313.2
3836664637358067584,101007.11+031444.1
810479398410192896,101210.81+465249.1
625298206951327104,101258.37+193412.3
739274887956360320,101400.77+270113.6
810513311472048512,101422.75+464737.3
740932814052534656,101658.72+275651.3
848022429099660032,101751.79+511403.7
3861507170579804160,101858.50+055652.1
727300038098767360,101907.79+264805.4
3861741572715018880,102052.12+063029.3
1051853369285519872,102239.58+622344.7
728554997477863424,102311.71+264302.8
741487483308924032,102408.88+292019.7
854646093303189632,102433.76+562855.1
725656714892012800,102451.00+233930.0
3876161495914554752,102644.98+094334.0
721968819748244608,102651.15+222054.3
748897813723038208,102722.45+324122.1
729532252862071424,102757.84+291716.5
1047356675965504000,102908.39+591853.7
3855630521447249408,102941.07+020613.0
829053315200599936,103048.30+433833.7
828992425442809728,103149.53+432208.4
756209261105292800,103241.45+395328.8
3987099779616944512,103253.85+190131.4
3869789585512940288,103406.19+084502.1
830396707950527616,103936.29+454219.0
3986133274535013632,104022.21+183607.5
724746422343328128,104149.64+254957.0
3859083709512919168,104240.34+052508.7
779334391523656064,104250.09+395418.7
3985900800840568960,104308.47+180531.3
854385925660615680,104316.17+573755.7
1058396494262917120,104649.39+641254.3
780108035397017984,104703.68+415043.5
3885349427392976384,104751.12+144303.4
776714083515988480,104842.64+403233.0
736361663179214592,105119.71+301946.7
775950335251713664,105142.49+385242.5
3969079746108647040,105508.22+135449.5
3867748067298001152,105516.54+090208.5
3864981799121879808,105705.50+071021.4
3867911138616870656,105715.70+095353.8
730231890149478016,105728.18+263747.3
3808912753419909760,105806.72+032514.6
3866715900757814528,105833.32+082446.4
3867696699489667968,105857.18+093342.6
783442098245601664,105939.33+463906.0
3871628518710681472,110018.71+115834.6
3995223147615339264,110403.19+240527.7
3996422813585454080,110437.46+250724.5
3968133410194775296,110439.98+133955.8
731871635648792576,110458.97+274311.8
839155142699045248,110558.06+510942.8
832796288998279808,110607.96+495055.0
3998594039812351104,110736.01+280353.5
777078674699609600,110745.19+402726.3
3968338572192939136,110810.33+140635.8
3563020275086249856,110901.26-145955.0
3963523501536725376,111114.67+104050.6
3991523149253944320,111312.83+221114.1
3964474819612802688,111320.81+115234.9
783644202231302784,111449.33+420253.0
3990243661316540672,111532.48+200325.1
3990357014093035904,111754.92+202852.3
3817460253734219648,111830.59+064233.5
3977933013735607168,111924.38+190726.0
3977810315110038272,112008.15+182326.5
844195067778439040,112034.87+555937.2
3977860720846319488,112124.86+185020.9
3814308194416110208,112417.34+054921.3
4023485368157491840,112609.96+304037.3
4021821051150583552,112622.51+280331.5
3814098874889836672,112631.31+053705.2
3992556587104867328,112643.24+225338.3
1056424687661357184,112650.77+645645.9
1056420358334277120,112654.85+645155.8
3977218640415516160,112702.85+190912.7
3793541890100775680,112731.86-021242.1
3812781728679081600,112746.45+041502.5
838689606900465792,112752.79+515815.2
3798287107408644480,112801.68+004034.6
3593053710077003008,112804.62-072413.4
838427094202787712,112900.75+510742.0
3813281869030675840,112911.50+052034.1
3913771115776381824,112923.65+075325.3
3797609499007854336,112950.38+003344.9
3593037118618647040,112953.69-073505.9
3917505710099056256,113042.07+123323.6
790015154853047936,113126.54+494131.8
3592884904977722368,113130.35-071744.4
3794101992491292416,113345.95-010040.0
766978251649468928,113356.52+385302.6
862582853564727424,113408.79+612133.5
841087018988502400,113442.81+531958.6
767597345416434304,113505.64+395358.5
787095603586307712,113538.58+472126.7
787299154982999168,113626.17+474305.0
845692392161564160,113626.80+564251.7
3916344110424263424,113901.49+111832.6
3973914234312311552,113912.83+173829.8
4031925185053154432,114153.63+345100.4
772509413612244608,114310.43+424324.0
863293339939139328,114355.88+625924.7
